title,video_link,views,date_time,img_link
"Unraveling the Geek-a-thon: The What, How, and Why | Geek-A-Thon | GeeksforGeeks",/watch?v=6e0v_NhsFMQ,539 views,2 months ago,https://i.ytimg.com/vi/6e0v_NhsFMQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAOjynZGsneFzNXwJ2ShOsV1vGfYQ
Data Analysis Masterclass | Geek-A-Thon | GeeksforGeeks,/watch?v=-7Emxpn8DXc,762 views,2 months ago,https://i.ytimg.com/vi/-7Emxpn8DXc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAwKUmJiwOdZNWD-wmxTvy6wzs79Q
GeeksforGeeks Offline Classroom Program | Now Open In Noida & Gurgaon,/watch?v=2bPiFkt3Nmg,41K views,2 months ago,https://i.ytimg.com/vi/2bPiFkt3Nmg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDA4jZl6hBfHbYema-dykBSRm1SPQ
Kickstart your DevOps Career | GeeksforGeeks,/watch?v=8gwwlpBwr_s,57K views,3 months ago,https://i.ytimg.com/vi/8gwwlpBwr_s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD8aOgOhLd0DtDxOW3kPd11W4Opxg
First Ever KBC at our Offline Classes | GeeksforGeeks,/watch?v=chYg2EAKW2A,670 views,3 months ago,https://i.ytimg.com/vi/chYg2EAKW2A/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA1uQzWVEuMq9rkOoBELuFlpPzj4w
Mega Job-a-thon for Working Professionals | 21st July | GeeksforGeeks,/watch?v=CyOh-WDfUvs,1.2K views,3 months ago,https://i.ytimg.com/vi/CyOh-WDfUvs/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARguIC4ofzAP&rs=AOn4CLC-enfUjlP5B3aavdNg0G_kYyJqdw
Explore GeeksforGeeks Hiring Solutions | For Top Tech Companies | Innovative Hiring Solutions,/watch?v=GDeoPHRqb5w,624 views,3 months ago,https://i.ytimg.com/vi/GDeoPHRqb5w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDP9nXBHCNc717_py2D3luXQsAohw
Geek-O-Lympics 2023 | GeeksforGeeks,/watch?v=hLqJiIu6LzY,3.4K views,3 months ago,https://i.ytimg.com/vi/hLqJiIu6LzY/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIEMoRTAP&rs=AOn4CLDXcHd6ZDV172dH4TjmsyKMY0f3Vg
Web 3.0 Explained | GeeksforGeeks,/watch?v=zEPRJMk3p90,1.8K views,3 months ago,https://i.ytimg.com/vi/zEPRJMk3p90/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDon5_LifSmKSd21d3H2e6yxrcs-w
Geek-O-Lympics 2023 | 1st - 31st July | GeeksforGeeks,/watch?v=GSqepfZLKU0,1.2K views,3 months ago,https://i.ytimg.com/vi/GSqepfZLKU0/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhMIDkofzAP&rs=AOn4CLBwJOykJErIkvirYZTCVCLvcvnLCQ
What Is Web Scraping & What It Is Used For | How To Use Web Scraping | GeeksforGeeks,/watch?v=MK15a0ipg-E,1.1K views,4 months ago,https://i.ytimg.com/vi/MK15a0ipg-E/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBoMbNKbU-1859Oug_5cP5qj1pP4A
Mega Job-A-Thon | Hire Top Talent for Your Company | GeeksforGeeks,/watch?v=cWPqVVobUuA,1.3K views,4 months ago,https://i.ytimg.com/vi/cWPqVVobUuA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCm1KHJsTWw8fQgVH1kITb_L56eqg
DSA To Development: A Complete Coding Guide | Complete Coding Program By GeeksforGeeks,/watch?v=phr8lXH2Ee0,97K views,4 months ago,https://i.ytimg.com/vi/phr8lXH2Ee0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDmp6I73wbZ7BKzKPOzgfhHO6OYqw
What is Queue (Updated) | Queues Explained | GeeksforGeeks,/watch?v=ypJwoz_SXTo,1.2K views,4 months ago,https://i.ytimg.com/vi/ypJwoz_SXTo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCwA4osmwncNTWloLvC8VFWKvIQ_w
Queue Practice Questions (Updated) | DSA Concepts | GeeksforGeeks,/watch?v=KG4dbF5xRig,1.1K views,4 months ago,https://i.ytimg.com/vi/KG4dbF5xRig/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC4fjnpzSQ4RRiflvmsuXR4eWNIrw
Free Summer Offline Classes on Python Programing | For Students Aged 14-21 | GeeksforGeeks,/watch?v=OOLXHwZzHfM,107K views,4 months ago,https://i.ytimg.com/vi/OOLXHwZzHfM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBA3K8oR_w8cFqFUccQDW2jPILAig
Python Libraries | Data Science | GeeksforGeeks,/watch?v=nDa75spDmeE,1.8K views,4 months ago,https://i.ytimg.com/vi/nDa75spDmeE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAu3hlyObAnxQasn2-77rM_yLjByw
ITR Filing Made Simple | Documents require to file ITR | GeeksforGeeks,/watch?v=SWa-tsbaIpg,957 views,4 months ago,https://i.ytimg.com/vi/SWa-tsbaIpg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDYTfITnAWU8jxAOwwL0n7AfPihlg
Full Stack Development | LIVE Classes | GeeksforGeeks,/watch?v=cBfC9HLR9Qk,159K views,4 months ago,https://i.ytimg.com/vi/cBfC9HLR9Qk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAP_4viR9d7LRG2HNVUAyHd7GdlWA
GeeksforGeeks Classroom Program in NCR,/watch?v=uEhnTpHY26o,2.4K views,4 months ago,https://i.ytimg.com/vi/uEhnTpHY26o/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBi799UWA9aWsuDy3-atKb9mMjbAA
What is Arrays | Arrays Explained | New Video - GeeksforGeeks,/watch?v=3_x_Fb31NLE,3.8K views,5 months ago,https://i.ytimg.com/vi/3_x_Fb31NLE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDLQEUqmfvnfdLlPoOrTt5mEO0j5g
Arrays Practice Questions (Updated) | In C++/JAVA/Python | GeeksforGeeks,/watch?v=J7EhXvnixRM,3.8K views,5 months ago,https://i.ytimg.com/vi/J7EhXvnixRM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDM62Vd3PECR-kOEwolcvbETX569Q
Gate 2024: Prepare for Success! | GATE CSE 2024 | GeeksforGeeks,/watch?v=G-3vZKPEtKw,55K views,5 months ago,https://i.ytimg.com/vi/G-3vZKPEtKw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDCIV1bHb6_VjoLs380ged0vUkFKA
Get Started with CP | Competitive Programming Tips | GeeksforGeeks,/watch?v=FCEj-mreXvI,2.7K views,5 months ago,https://i.ytimg.com/vi/FCEj-mreXvI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDLaXdFSD5Zw3xvPnkzYEJXJs7vNA
React VS Angular VS Vue | GeeksforGeeks,/watch?v=sA2vgFR-fZc,8.2K views,5 months ago,https://i.ytimg.com/vi/sA2vgFR-fZc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBtXgx_o4hSSNyE_dRB088Bv1uiQQ
GeeksforGeeks Classroom Program | Now in Noida and Gurugram!,/watch?v=16D2cuRy5JY,235K views,5 months ago,https://i.ytimg.com/vi/16D2cuRy5JY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBWJqp7mvO4tjQM5oxH_mJy2Ju4qw
Transformers in NLP | GeeksforGeeks,/watch?v=-eqjV5dwb9Q,5.2K views,5 months ago,https://i.ytimg.com/vi/-eqjV5dwb9Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAqPW2Tgz85sa7TvoEtCDSYH681AQ
Jobs that AI can't replace | GeeksforGeeks,/watch?v=uY05MFnSMwU,3.4K views,5 months ago,https://i.ytimg.com/vi/uY05MFnSMwU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDVjnJrKieRwVJgEnAPxULO38hMkw
Job Fair for Students | Till 25th May Only | GeeksforGeeks,/watch?v=1GEegOb3fHE,82K views,5 months ago,https://i.ytimg.com/vi/1GEegOb3fHE/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhZIFkoWTAP&rs=AOn4CLDWD19sJjNhUuLAGpy8ueplIkSloQ
"Flutter: ""Pros and Cons"" | GeeksforGeeks",/watch?v=0gnaXUiSELY,3.9K views,5 months ago,https://i.ytimg.com/vi/0gnaXUiSELY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCxAUddkQg1nCHNLB_xbRk97kxjsA
Hire Best Talent with GeeksforGeeks,/watch?v=xifGlf39ahQ,14K views,5 months ago,https://i.ytimg.com/vi/xifGlf39ahQ/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhWIF4oZTAP&rs=AOn4CLD0P_bfFlzP_hw7q4HwmSfU69xeMQ
Tech Jobs without Degree | GeeksforGeeks,/watch?v=5jHvfzt8Ors,1.5K views,5 months ago,https://i.ytimg.com/vi/5jHvfzt8Ors/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDpq1HF6phihrAL-2zrHzQbypIdEQ
Start your writing Journey | Geek Author Badges | GeeksforGeeks,/watch?v=ISPOKldx90E,1.4K views,6 months ago,https://i.ytimg.com/vi/ISPOKldx90E/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCEJEBjlB3EOlu9zKDa4A8oR2lYkQ
Presenting: GeeksforGeeks Author Badges | Honoring the Writer in You!,/watch?v=kW9BohViP04,1.1K views,6 months ago,https://i.ytimg.com/vi/kW9BohViP04/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAke2WXH3Vlmsp3ekRwZIyWg-Yibg
Create Your Own Apps Today | GeeksforGeeks,/watch?v=LycNCWC3g18,35K views,6 months ago,https://i.ytimg.com/vi/LycNCWC3g18/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDRHvJ09oqT8eOCxRN20xS-ZhkqWA
